"Freq.","Gain","Phase","Group Delay"
"7037.13","-14.99131","-122.835614453167","1.453066E-05"
"7122.934","-14.65797","-123.286554828862","1.459858E-05"
"7209.784","-14.3242","-123.745200311093","1.466913E-05"
"7297.692","-13.98998","-124.211740217161","1.474194E-05"
"7386.673","-13.65531","-124.686383961006","1.481727E-05"
"7476.739","-13.32017","-125.169342341907","1.489521E-05"
"7567.903","-12.98456","-125.660833833042","1.497579E-05"
"7660.179","-12.64846","-126.161088131845","1.505922E-05"
"7753.579","-12.31187","-126.670349470943","1.514571E-05"
"7848.119","-11.97478","-127.188866219239","1.523515E-05"
"7943.811","-11.63717","-127.716892159033","1.532772E-05"
"8040.669","-11.29903","-128.254698822633","1.542355E-05"
"8138.709","-10.96036","-128.802575161392","1.552303E-05"
"8237.944","-10.62115","-129.360798263671","1.562576E-05"
"8338.39","-10.28138","-129.929689274","1.573247E-05"
"8440.06","-9.941052","-130.509558819679","1.584292E-05"
"8542.969","-9.60015","-131.100740491959","1.595748E-05"
"8647.133","-9.258672","-131.703578398178","1.607608E-05"
"8752.567","-8.916598","-132.31844805968","1.619935E-05"
"8859.287","-8.573934","-132.945711481812","1.632686E-05"
"8967.309","-8.230666","-133.585766010812","1.645903E-05"
"9076.647","-7.886789","-134.239031905584","1.659636E-05"
"9187.319","-7.542297","-134.905936465162","1.673878E-05"
"9299.34","-7.197191","-135.586922432345","1.688644E-05"
"9412.727","-6.851462","-136.282468527919","1.703967E-05"
"9527.496","-6.505112","-136.993063737058","1.71986E-05"
"9643.665","-6.158137","-137.719222869081","1.736358E-05"
"9761.25","-5.810545","-138.461475522045","1.753466E-05"
"9880.269","-5.462332","-139.22039553666","1.771246E-05"
"10000.74","-5.113508","-139.996558310876","1.789668E-05"
"10122.68","-4.764077","-140.790587235046","1.808796E-05"
"10246.1","-4.414056","-141.603111668891","1.828639E-05"
"10371.03","-4.063453","-142.434807408474","1.849238E-05"
"10497.49","-3.712286","-143.286373307349","1.870608E-05"
"10625.48","-3.360576","-144.158538266558","1.892777E-05"
"10755.04","-3.00835","-145.052060421465","1.915769E-05"
"10886.18","-2.65564","-145.967725329025","1.939604E-05"
"11018.91","-2.302474","-146.90637317231","1.964326E-05"
"11153.27","-1.948902","-147.868844683328","1.989923E-05"
"11289.26","-1.59496","-148.856058708146","2.016484E-05"
"11426.91","-1.240711","-149.868922376473","2.043954E-05"
"11566.24","-0.8862195","-150.908387556928","2.072376E-05"
"11707.26","-0.531549","-151.975473552812","2.101811E-05"
"11850.01","-0.176785","-153.071198086746","2.132218E-05"
"11994.5","0.177978","-154.196600356058","2.163593E-05"
"12140.75","0.5326443","-155.352795695924","2.196017E-05"
"12288.78","0.88709","-156.540868406305","2.229381E-05"
"12438.62","1.241194","-157.761987682732","2.263793E-05"
"12590.28","1.594807","-159.017288014888","2.299124E-05"
"12743.79","1.947765","-160.307930344374","2.335373E-05"
"12899.18","2.2999","-161.635123546921","2.372593E-05"
"13056.46","2.651003","-162.999997580763","2.410563E-05"
